system:index,Dynamic world LULC,EVI,Elevation in m,Gross primary productivity in kg C per square m per 16 days,Land surface temperature in °C,Leaf area index,Methane ppb,Monthly precipitation in mm,NDVI,.geo
0,Trees,0.39,221,309.55,28.74,2.51,1841.0,37.39,0.71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.73796639394818,-16.618832756211148]}"
1,Trees,0.36,110,254.82,28.84,2.05,1846.45,43.44,0.67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.83965110982865,-16.618832756211148]}"
2,Trees,0.36,113,247.82,29.06,2.16,1849.27,40.36,0.68,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.94133582570913,-16.618832756211148]}"
3,Trees,0.36,112,286.09,29.86,2.07,1849.7,39.17,0.66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.04302054158961,-16.618832756211148]}"
4,Trees,0.38,123,325.36,29.17,2.19,1846.23,30.01,0.71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14470525747009,-16.618832756211148]}"
5,Trees,0.33,211,294.18,30.14,1.69,1855.75,18.53,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.24638997335057,-16.618832756211148]}"
6,Shrub and scrub,0.3,436,271.36,30.52,1.42,1861.82,10.54,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.34807468923105,-16.618832756211148]}"
7,Trees,0.3,623,323.0,30.47,1.44,1858.63,9.69,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.44975940511153,-16.618832756211148]}"
8,Grass,0.29,587,320.64,31.27,1.34,1862.05,7.01,0.53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.551444120992,-16.618832756211148]}"
9,Grass,0.29,625,306.18,32.07,1.09,1862.12,5.97,0.51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.65312883687248,-16.618832756211148]}"
10,Grass,0.32,609,266.91,31.04,1.14,1860.14,4.76,0.54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.754813552752964,-16.618832756211148]}"
11,Grass,0.31,724,277.91,29.88,1.07,1862.89,2.86,0.52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.85649826863344,-16.618832756211148]}"
